0.0666667 -0.180537
0.168862 -0.158814
0.264307 -0.116319
0.348832 -0.0549086
0.418741 0.0227338
0.470981 0.113215
0.503266 0.212579
0.514187 0.316485
0.503266 0.420391
0.470981 0.519756
0.418741 0.610236
0.348832 0.687879
0.264307 0.749289
0.168862 0.791785
0.0666667 0.813507
0.0666667 0.180537
0.0948913 0.186536
0.121252 0.198272
0.144596 0.215233
0.163904 0.236677
0.178332 0.261666
0.187248 0.289109
0.190264 0.317806
0.187248 0.346503
0.178332 0.373946
0.163904 0.398935
0.144596 0.420379
0.121252 0.437339
0.0948913 0.449076
0.0666667 0.455075
